Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
266,2649876,0,637,35717,24031,324018,1825314
267,1086387,2,564,63786,34025,433122,1967624
268,38352,0,477,44480,9396,272986,1884257
269,528485,13,352,29904,19653,160266,1009878
270,514491,43,412,7722,4725,158046,1042703
271,591122,1,632,33975,13710,263091,1760642
272,1686371,5,356,10898,26483,199028,1191104
273,735606,40,624,27597,15269,268099,1552123
274,1687109,0,449,20584,12167,274197,1731560
275,1401661,39,517,19546,10545,215958,1380253
276,2110344,0,709,36430,17980,315468,2009511
277,392110,0,789,19841,29415,485395,2834913
278,166300,0,1006,114454,28037,542712,2734246
279,1717339,4,555,37432,10115,210881,1222636
280,1609184,0,527,36032,13398,275373,1809198
281,1078957,2,414,20398,17874,236185,1464240
282,55479,0,581,19887,29004,324975,2262180
283,124127,6,573,39756,26194,329462,1740672
284,1116934,0,526,62824,22254,306139,1794398
285,574309,11,594,19574,9524,285760,1804186
286,2328145,0,563,29025,11192,318100,2153319
287,383405,11,326,10562,2197,128233,795147
288,146556,9,432,25260,7628,213031,1244125
289,226165,0,617,36314,6845,239666,1493350
290,1443130,0,519,13441,7207,209469,1583744
291,541386,3,587,48564,23075,320130,1984810
292,1966174,3,437,30224,9300,193225,1198844
293,3576557,1,584,35353,12851,307220,1665657
294,983926,0,549,61233,31208,353941,1626362
295,3421649,11,646,54735,13142,305394,1863758
296,312764,0,239,4761,8669,138865,1041981
297,1188232,1,611,34943,17029,333966,2205686
298,125362,0,298,9606,4861,137405,921924
299,382667,14,449,22230,9442,216511,1469679
300,1214023,2,375,18802,10896,181967,1313751
301,111152,9,505,40268,11365,230558,1532571
302,1817371,7,528,27478,12181,304722,2029108
303,485313,63,398,13856,9165,173777,1168436
304,2941123,2,710,49562,11884,355147,1913213
305,1536454,13,549,27300,10230,234077,1496502
306,239892,28,521,27774,17683,229739,1412700
307,922979,0,612,31681,20520,297946,1903885
308,1457283,0,496,14170,11273,271528,1621231
309,265199,0,240,7766,3014,131267,957585
310,1065200,37,381,12221,7078,166009,1073050
311,2079027,3,603,23548,18958,278295,2007678
312,273855,12,436,47144,16983,279429,1339042
313,1522148,6,601,43322,15423,321165,1969177
314,1039494,1,488,33693,18232,264094,1479916
315,172441,0,488,17703,19716,222261,1389367
316,1558791,1,459,12045,8915,208089,1363762
317,75097,1,531,28143,13423,227570,1456511
318,337581,14,498,20871,10562,248127,1600103
319,283175,0,495,17904,10420,213727,1271864
320,1160979,2,356,17266,8963,172119,1052307
321,113061,3,609,30923,16349,299107,1797256
322,1361446,1,544,9819,9184,232230,1276519
323,863647,6,477,16833,7483,184820,1279936
324,327175,5,365,10954,7380,188923,1330540
325,573,0,432,7225,6056,144095,950139
326,2256136,10,528,36867,17659,243692,1628971
327,1915635,29,632,37270,13837,225008,1457414
328,102288,1,525,49850,18999,272899,1418928
329,18501,14,308,18194,6561,181125,1189049
330,1294397,1,340,12867,5872,164252,1081122
331,509307,2,537,55498,17084,325550,1985123
332,343298,0,504,28338,18996,259472,1668716
333,868498,0,513,37556,16052,266604,1742887
